,JM#,LQ Code,LQ Name,Density (lb/gal),pH,Viscosity (cP),Odor,Appearance,Clarity,Color,Quick Solids (%w/w),Foam Height,Date Tested,Adjustments?,QC Initials,Comments,ProdPush?,SubmittedBy,SubmittedTime,viscSpindle,viscSpeed,released
18,jm00003435,LQSP-FRSH-RT,LQ Spa Lavish Fresh Shampoo Retail,,7.49,8590.0,PASS,PASS,PASS,PASS,,N/A,2020-10-12 00:00:00,NO,Devin Brand,Historical Data,,Devin Brand,2023-02-14 11:19:50,,,
19,JM00003437,LQTR-DCWS,LQ TR Deep Cleansing WL Sh Dog/Cats,,8.2,,,,,,,,2020-10-13 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-06 16:47:59,,,
20,JM00003438,LQTR-DCWS,LQ TR Deep Cleansing WL Sh Dog/Cats,,7.98,,,,,,,,2020-10-13 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-06 16:47:59,,,
21,JM00003451,LQTR-NCSH-RT,LQ TR Neem Citrus Shampoo Retail,,7.33,,,,,,,,2020-10-20 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-06 16:47:59,,,
22,JM00003458,LQSP-CMSH-RT,LQ Spa Lavish Comfort Shampoo Retail,,7.04,14589.0,,,,,,,2020-10-26 00:00:00,Yes,Devin Brand,Historical Data,,Alexander Duchild,2023-02-06 16:47:59,,,
23,JM00003465,LQSP-PRSH-RT,LQ SP Pure Shampoo Retail,,7.99,5759.0,,,,,,,2020-10-30 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-06 16:47:59,,,
24,jm00003494,LQFS-IRSP,LQ FS Itch Relief Spray,,4.71,,PASS,PASS,PASS,PASS,,null,2020-11-09 00:00:00,NO,Devin Brand,Historical Data,,Devin Brand,2023-02-15 14:49:43,,,
25,JM00003495,LQTR-HAWS,LQ TR Hypo-Allergenic Waterless Shampoo,,7.85,,,,,,,,2020-11-05 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-06 16:47:59,,,
26,JM00003496,LQTR-PYWS,LQ TR Papaya & Coconut Waterless Sh-Pets,,8.01,,,,,,,,2020-11-11 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-06 16:47:59,,,
27,JM00003497,LQTR-HAWS,LQ TR Hypo-Allergenic Waterless Shampoo,,7.98,,,,,,,,2020-11-06 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-06 16:47:59,,,
28,JM00003499,LQTR-NCSH-RT,LQ TR Neem Citrus Shampoo Retail,,7.25,,,,,,,,2020-11-10 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-06 16:47:59,,,
29,jm00003519,LQPF-CNSH,LQ PF - Combination Shampoo,,7.18,22075.0,PASS,PASS,PASS,PASS,,null,2020-11-17 00:00:00,NO,Devin Brand,Historical Data,,Devin Brand,2023-02-14 13:31:12,,,
30,jm00003521,LQPF-LHSH,LQ PF - Long Haired Shampoo,,6.82,18716.0,PASS,PASS,PASS,PASS,,null,2020-11-20 00:00:00,Yes,Devin Brand,Historical Data,,Devin Brand,2023-02-14 13:44:19,,,
31,jm00003523,LQPF-SMSH,LQ PF - Smooth Shampoo,,6.54,19196.0,PASS,PASS,PASS,PASS,,N/A,2021-11-18 00:00:00,NO,Devin Brand,Historical Data,,Devin Brand,2023-02-14 13:14:14,,,
32,JM00003566,LQTR-DCWS,LQ TR Deep Cleansing WL Sh Dog/Cats,,7.71,,,,,,,,2020-12-01 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-06 16:47:59,,,
33,jm00003601,LQFS-LVCD,LQ FS Lavish 4 in 1 Shampoo+Conditioner,,7.03,7726.0,,,,,,,2020-12-09 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-21 00:00:00,,,
34,JM00003620,LQTR-HAWS,LQ TR Hypo-Allergenic Waterless Shampoo,,7.75,,,,,,,,2020-12-14 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-06 16:47:59,,,
35,JM00003621,LQTR-DCWS,LQ TR Deep Cleansing WL Sh Dog/Cats,,7.72,,,,,,,,2020-12-15 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-06 16:47:59,,,
36,JM00003622,LQTR-DRWS,LQ Dander Reducing Waterless Shampo-Cats,,7.72,,,,,,,,2020-12-18 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-06 16:47:59,,,
37,JM00003624,LQTR-PYWS,LQ TR Papaya & Coconut Waterless Sh-Pets,,7.77,,,,,,,,2020-12-17 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-06 16:47:59,,,
38,jm00003638,LQSP-RNSH-RT,LQ Spa Lavish Renew Shampoo Retail,,6.68,11086.0,PASS,PASS,PASS,PASS,,N/A,2020-12-29 00:00:00,NO,Devin Brand,Historical Data,,Devin Brand,2023-02-14 10:47:33,,,
39,JM00003651,LQTR-KBSP,LQ TR Kiwi Blossom Deod Spray,,7.34,,,,,,,,2020-12-29 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-06 16:47:59,,,
40,jm00003653,LQSP-FRSH-RT,LQ Spa Lavish Fresh Shampoo Retail,,6.71,11805.0,PASS,PASS,PASS,PASS,,N/A,2020-12-22 00:00:00,NO,Devin Brand,Historical Data,,Devin Brand,2023-02-14 11:18:21,,,
41,JM00003659,LQTR-AFEC,LQ TropiClean Alcohol Free Ear Cleaner,8.3659,6.96,,PASS,PASS,PASS,PASS,,,2025-01-21 11:34:55,NO,Jennifer Navarrete,,,Jennifer Navarrette,2025-01-21 11:37:37,,,PASS
42,JM00003666,LQTR-NCSH,LQ TR Neem Citrus Shampoo,,6.76,,,,,,,,2020-12-30 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-06 16:47:59,,,
43,JM00003667,LQTR-NCSH-RT,LQ TR Neem Citrus Shampoo Retail,,6.9,,,,,,,,2021-01-05 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-06 16:47:59,,,
44,jm00003687,LQSP-FHSH,LQ Spa Lavish For Him Shampoo,,6.59,12621.0,PASS,PASS,PASS,PASS,,N/A,2021-01-11 00:00:00,NO,Devin Brand,Historical Data,,Devin Brand,2023-02-14 11:12:00,,,
45,JM00003688,LQTR-ALSH-RT,LQ TR Aloe and Coconut Shampoo Retail,,6.67,12525.0,,,,,,,2021-01-14 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-06 16:47:59,,,
46,jm00003693,LQDS-HJ-CA,LQ DHS +Hip & Joint Support for Dogs CAN,,3.88,,PASS,PASS,PASS,PASS,,null,2021-01-12 00:00:00,YES,Devin Brand,. 1.4 lbs citric,,Devin Brand,2023-02-15 08:37:16,,,
47,JM00003701,LQSP-FHSH-RT,LQ Spa Lavish For Him Shampoo Retail,,6.65,14877.0,,,,,,,2021-01-13 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-06 16:47:59,,,
48,JM00003704,LQSP-PRSH-RT,LQ SP Pure Shampoo Retail,,7.59,3215.0,,,,,,,2021-01-13 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-06 16:47:59,,,
49,JM00003731,LQPF-SMSH,LQ PF - Smooth Shampoo,,6.74,18236.0,PASS,PASS,PASS,PASS,,N/A,2021-01-21 00:00:00,NO,Devin Brand,Historical Data,,Devin Brand,2023-02-14 13:13:16,,,
50,jm00003732,LQPF-LHSH,LQ PF - Long Haired Shampoo,,6.2,28314.0,PASS,PASS,PASS,PASS,,null,2021-01-22 00:00:00,NO,Devin Brand,Historical Data,,Devin Brand,2023-02-14 13:43:09,,,
51,jm00003736,CM-SPEX,SPA Extracts,,5.09,,,,,,,,2021-01-19 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-21 00:00:00,,,
52,JM00003739,LQTR-DCWS,LQ TR Deep Cleansing WL Sh Dog/Cats,,7.57,,,,,,,,2021-01-22 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-06 16:47:59,,,
53,JM00003751,LQHC-PPSH,LQ HC Pure Plum Shampoo,,7.5,10654.0,,,,,,,2021-02-15 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-06 16:47:59,,,
54,jm00003768,LQSP-FRSH,LQ Spa Lavish Fresh Shampoo,,6.75,13149.0,PASS,PASS,PASS,PASS,,N/A,2021-01-28 00:00:00,NO,Devin Brand,Historical Data,,Devin Brand,2023-02-14 11:32:15,,,
55,JM00003775,LQTR-DRWS,LQ Dander Reducing Waterless Shampo-Cats,,7.88,,,,,,,,2021-01-28 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-06 16:47:59,,,
56,JM00003776,LQTR-PYWS,LQ TR Papaya & Coconut Waterless Sh-Pets,,7.72,,,,,,,,2021-01-29 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-06 16:47:59,,,
57,JM00003777,LQTR-HAWS,LQ TR Hypo-Allergenic Waterless Shampoo,,7.79,,,,,,,,2021-02-01 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-06 16:47:59,,,
58,jm00003783,LQDS-DG-CA,LQ DHS +Digestive Support fo Dogs-CANADA,,3.68,,PASS,PASS,PASS,PASS,,null,2021-02-01 00:00:00,YES,Devin Brand,Historical Data,,Devin Brand,2023-02-15 08:29:02,,,
59,jm00003804,LQDS-SC-CA,LQ DHS Supports Skin & Coat for Dogs-CAN,,3.62,,PASS,PASS,PASS,PASS,,null,2021-02-05 00:00:00,YES,Devin Brand,; 13.5 lbs citric,,Devin Brand,2023-02-15 08:41:45,,,
60,jm00003809,LQCD-PSTR-PM,LQ PL Detangling Conditioner PM,8.0917,5.55,3509.0,PASS,PASS,PASS,PASS,,N/A,2021-02-12 00:00:00,NO,Devin Brand,Historical Data,,Devin Brand,2023-02-14 14:58:25,,,
61,JM00003812,LQCD-PSMS-PM,LQ PL Moisturizing Conditioner PM,8.1322,5.31,3989.0,PASS,PASS,PASS,PASS,,,2024-02-19 11:12:19,NO,Javan Quiroz,,,Javan Quiroz,2024-02-19 11:12:46,LV63,12,PASS
62,jm00003826,LQDS-HJ-CA,LQ DHS +Hip & Joint Support for Dogs CAN,,3.74,,PASS,PASS,PASS,PASS,,null,2021-02-08 00:00:00,YES,Devin Brand,. 1.75 lbs citric,,Devin Brand,2023-02-15 08:36:13,,,
63,jm00003832,LQPF-SDSH,LQ PF - Short Double Shampoo,,7.39,17756.0,PASS,PASS,PASS,PASS,,N/A,2021-02-16 00:00:00,NO,Devin Brand,Historical Data,,Devin Brand,2023-02-14 13:17:47,,,
64,jm00003834,LQPF-CNSH,LQ PF - Combination Shampoo,8.6333,7.11,11518.0,PASS,PASS,PASS,PASS,,null,2021-03-03 00:00:00,Yes,Devin Brand,Historical Data,,Devin Brand,2023-02-14 13:29:13,,,
65,jm00003837,LQFS-WS,LQ Fresh & Soothing Waterless Shampoo,,7.62,,,,,,,,2021-02-12 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-21 00:00:00,,,
66,jm00003850,LQCD-PSTR-PM,LQ PL Detangling Conditioner PM,8.2303,5.82,3930.0,PASS,PASS,PASS,PASS,,null,2021-02-09 00:00:00,NO,Devin Brand,Historical Data,,Devin Brand,2023-02-14 14:59:19,,,
67,JM00003856,LQDS-CA-CONC,LQ Concentrate DHS for Dogs-Canada,,3.66,,PASS,PASS,PASS,PASS,,null,2021-02-11 00:00:00,NO,Devin Brand,Historical Data,,Devin Brand,2023-02-15 08:26:14,,,
68,jm00003864,LQSP-PSHY-RT,LQ PL Hydrating Spray RT,,7.94,,,,,,,,2021-02-18 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-21 00:00:00,,,
69,jm00003871,LQCD-PSMS-RT,LQ PL Moisturizing Conditioner RT,7.806,5.69,5739.0,PASS,PASS,PASS,PASS,,null,2021-02-18 00:00:00,NO,Devin Brand,Historical Data,,Devin Brand,2023-02-15 15:28:37,,,
70,jm00003872,LQCD-PSLS-RT,LQ PL Lustrous Coat Conditioner RT,7.6316,5.79,4889.0,PASS,PASS,PASS,PASS,,null,2021-02-19 00:00:00,NO,Devin Brand,Historical Data,,Devin Brand,2023-02-15 15:22:58,,,
71,jm00003874,LQFS-LVCD,LQ FS Lavish 4 in 1 Shampoo+Conditioner,,6.86,5327.0,,,,,,,2021-02-23 00:00:00,YES,Devin Brand,Historical Data; 10 Lbs Salt,,Alexander Duchild,2023-02-21 00:00:00,,,
72,jm00003877,LQSH-PSBI-RT,LQ PL Brightening Shampoo RT,,6.79,2699.0,PASS,PASS,PASS,PASS,,null,2021-02-24 00:00:00,NO,Devin Brand,Historical Data,,Devin Brand,2023-02-14 14:56:34,,,
73,JM00003885,LQCD-PSSR-PM,LQ PL Shed Reducing Conditioner PM,7.7463,5.11,4049.0,PASS,PASS,PASS,PASS,,,2021-03-04 00:00:00,NO,Josh Boedecker,historical data,,Alexander Duchild,2023-09-26 16:04:09,LV63,12,PASS
74,JM00003886,LQCD-PSSR-PM,LQ PL Shed Reducing Conditioner PM,8.0887,5.25,3839.0,PASS,PASS,PASS,PASS,,,2021-03-05 00:00:00,NO,Josh Boedecker,historical data,,Alexander Duchild,2023-09-26 16:02:50,LV63,12,PASS
75,JM00003890,LQTR-NCSH-RT,LQ TR Neem Citrus Shampoo Retail,,7.06,,,,,,,,2021-02-19 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-06 16:47:59,,,
76,JM00003910,LQTR-KBSP,LQ TR Kiwi Blossom Deod Spray,,7.27,,,,,,,,2021-02-24 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-06 16:47:59,,,
77,JM00003911,LQTR-DCWS,LQ TR Deep Cleansing WL Sh Dog/Cats,,7.38,,,,,,,,2021-03-03 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-06 16:47:59,,,
78,jm00003924,LQSP-RNSH-RT,LQ Spa Lavish Renew Shampoo Retail,,6.76,11614.0,PASS,PASS,PASS,PASS,,N/A,2021-03-09 00:00:00,NO,Devin Brand,Historical Data,,Devin Brand,2023-02-14 10:45:37,,,
79,jm00003938,LQFS-WS,LQ Fresh & Soothing Waterless Shampoo,,7.91,,,,,,,,2021-03-11 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-21 00:00:00,,,
80,JM00003943,LQSP-CMSH-RT,LQ Spa Lavish Comfort Shampoo Retail,,6.64,7822.0,,,,,,,2021-01-20 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-06 16:47:59,,,
81,JM00003944,LQTR-DCWS,LQ TR Deep Cleansing WL Sh Dog/Cats,,7.86,,,,,,,,2021-03-09 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-06 16:47:59,,,
82,jm00003950,LQFS-IRSP,LQ FS Itch Relief Spray,,5.07,,PASS,PASS,PASS,PASS,,null,2021-03-04 00:00:00,NO,Devin Brand,Historical Data,,Devin Brand,2023-02-15 14:49:04,,,
83,jm00003961,LQFS-LVCD,LQ FS Lavish 4 in 1 Shampoo+Conditioner,,7.04,6335.0,,,,,,,2021-03-15 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-21 00:00:00,,,
84,jm00003975,LQCL-YK,"LQ UO Yard Clean, Yard & Kennel Odor Eli",,8.06,,,,,,,,2021-03-12 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-21 00:00:00,,,
85,jm00003976,LQCL-MU,LQ UO Multi-Purpose,,8.48,,,,,,,,2021-03-30 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-21 00:00:00,,,
86,JM00003983,LQTR-PYWS,LQ TR Papaya & Coconut Waterless Sh-Pets,,7.54,,,,,,,,2021-03-17 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-06 16:47:59,,,
87,JM00003988,LQTR-HAWS,LQ TR Hypo-Allergenic Waterless Shampoo,,7.5,,,,,,,,2021-03-16 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-06 16:47:59,,,
88,jm00003995,LQPF-SMSH,LQ PF - Smooth Shampoo,8.7514,6.69,24475.0,PASS,PASS,PASS,PASS,,N/A,2021-03-25 00:00:00,NO,Devin Brand,Historical Data,,Devin Brand,2023-02-14 13:11:57,,,
89,JM00003999,LQTR-KBSP,LQ TR Kiwi Blossom Deod Spray,,7.19,,,,,,,,2021-03-26 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-06 16:47:59,,,
90,jm00004008,LQFS-IRSP,LQ FS Itch Relief Spray,,4.04,,PASS,PASS,PASS,PASS,,null,2021-03-19 00:00:00,NO,Devin Brand,Historical Data,,Devin Brand,2023-02-15 14:48:26,,,
91,JM00004015,LQHC-PPSH,LQ HC Pure Plum Shampoo,,7.06,25818.0,,,,,,,2021-03-22 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-06 16:47:59,,,
92,JM00004016,LQSP-PRSH-RT,LQ SP Pure Shampoo Retail,,7.65,4415.0,,,,,,,2021-03-22 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-06 16:47:59,,,
93,JM00004017,LQSP-FHSH-RT,LQ Spa Lavish For Him Shampoo Retail,,6.67,17564.0,,,,,,,2021-03-24 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-06 16:47:59,,,
94,jm00004018,LQSP-FRSH-RT,LQ Spa Lavish Fresh Shampoo Retail,,6.71,16652.0,PASS,PASS,PASS,PASS,,N/A,2021-03-24 00:00:00,NO,Devin Brand,Historical Data,,Devin Brand,2023-02-14 11:17:23,,,
95,jm00004023,LQOX-MDAISH,LQ OxyMed Medicated Anti-Itch Shampoo,,3.76,10174.0,,,,,,,2021-03-25 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-21 00:00:00,,,
96,JM00004024,LQPF-TRSP,LQ PF - Tangle Remover Spray,,6.75,,,,,,,,2021-03-29 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-06 16:47:59,,,
97,JM00004046,LQSP-CMSH-RT,LQ Spa Lavish Comfort Shampoo Retail,,6.61,14925.0,,,,,,,2021-03-30 00:00:00,Yes,Devin Brand,Historical Data,,Alexander Duchild,2023-02-06 16:47:59,,,
98,JM00004052,LQSP-FHSH-RT,LQ Spa Lavish For Him Shampoo Retail,,6.69,13149.0,,,,,,,2021-04-01 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-06 16:47:59,,,
99,JM00004065,LQTR-PPSP,LQ Tropiclean Pure Plum Deod Spray,,7.39,,PASS,PASS,PASS,PASS,,,2024-02-26 10:49:24,NO,Javan Quiroz,,,Javan Quiroz,2024-02-26 10:49:40,,,PASS
100,JM00004070,LQSH-DRWS,LQ SH Dander Reducing Waterless Cat,,7.53,,,,,,,,2021-05-18 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-06 16:47:59,,,
101,JM00004071,LQSH-PYWS,LQ SH Papaya & Coconut Waterless,,7.48,,,,,,,,2021-05-18 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-06 16:47:59,,,
102,jm00004082,LQPF-LHSH,LQ PF - Long Haired Shampoo,,6.63,17520.0,PASS,PASS,PASS,PASS,,null,2021-04-09 00:00:00,NO,Devin Brand,Historical Data,,Devin Brand,2023-02-14 13:39:24,,,
103,JM00004084,LQPF-TRSP,LQ PF - Tangle Remover Spray,8.3304,6.93,,,,,,,,2021-04-12 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-06 16:47:59,,,
104,jm00004088,LQPF-SDSH,LQ PF - Short Double Shampoo,8.6352,7.0,15360.0,PASS,PASS,PASS,PASS,,N/A,2021-04-09 00:00:00,NO,Devin Brand,Historical Data,,Devin Brand,2023-02-14 13:16:48,,,
105,jm00004095,LQSH-PSSR-PM,LQ PL Shed Reducing Shampoo PM,8.457,6.36,7080.0,PASS,PASS,PASS,PASS,,null,2021-04-14 00:00:00,NO,Devin Brand,Historical Data,,Devin Brand,2023-02-15 15:15:46,,,
106,jm00004096,LQSH-PSSR-PM,LQ PL Shed Reducing Shampoo PM,8.5732,6.19,9888.0,PASS,PASS,PASS,PASS,,null,2021-04-15 00:00:00,YES,Devin Brand,Historical Data; 41.5 lbs salt,,Devin Brand,2023-02-15 15:14:36,,,
107,jm00004097,LQPF-CNSH,LQ PF - Combination Shampoo,,6.84,15120.0,PASS,PASS,PASS,PASS,,null,2021-04-09 00:00:00,Yes,Devin Brand,Historical Data,,Devin Brand,2023-02-14 13:28:18,,,
108,jm00004105,CM-SPEX,SPA Extracts,,5.38,,,,,,,,2021-04-12 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-21 00:00:00,,,
109,jm00004107,LQFS-LVCD,LQ FS Lavish 4 in 1 Shampoo+Conditioner,,6.96,8064.0,,,,,,,2021-04-14 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-21 00:00:00,,,
110,JM00004112,LQTR-ALSH-RT,LQ TR Aloe and Coconut Shampoo Retail,,6.72,12820.0,,,,,,,2021-04-14 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-06 16:47:59,,,
111,JM00004121,LQTR-KBSP,LQ TR Kiwi Blossom Deod Spray,,7.36,,,,,,,,2021-04-19 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-06 16:47:59,,,
112,JM00004128,LQTR-KBSP,LQ TR Kiwi Blossom Deod Spray,,7.48,,,,,,,,2021-04-16 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-06 16:47:59,,,
113,jm00004136,LQSP-PSHY-RT,LQ PL Hydrating Spray RT,8.3517,8.07,,,,,,,,2021-04-20 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-21 00:00:00,,,
114,jm00004137,LQSP-PSSY-RT,LQ PS Quick-Dry Styling Spray RT,,7.65,,,,,,,,2021-04-20 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-21 00:00:00,,,
115,JM00004150,LQTR-NCSH,LQ TR Neem Citrus Shampoo,,6.85,,,,,,,,2021-04-22 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-06 16:47:59,,,
116,jm00004165,CM-ALEX,CM Aloe Extract,,4.65,,,,,,,,2021-04-26 00:00:00,NO,Devin Brand,Historical Data,,Alexander Duchild,2023-02-21 00:00:00,,,
117,jm00004170,LQSH-PSBI-RT,LQ PL Brightening Shampoo RT,,7.43,6240.0,PASS,PASS,PASS,PASS,,null,2021-04-27 00:00:00,NO,Devin Brand,Historical Data,,Devin Brand,2023-02-14 14:52:58,,,
